time_key,open,high,low,close,volume,time_clean
2025-11-26 00:00:00,229.391624066,233.601406332,225.779157546,230.034994763,17817622.0,2025-11-26
2025-11-28 00:00:00,235.384761969,237.86733368,233.241858018,236.24891671,12914741.0,2025-11-28
2025-12-01 00:00:00,232.058015975,242.123170897,231.273783061,240.225027537,18238209.0,2025-12-01
2025-12-02 00:00:00,238.511703399,244.131106865,234.101017644,239.255975401,18166225.0,2025-12-02
2025-12-03 00:00:00,236.159004656,237.567626833,227.867115241,233.931183765,19188220.0,2025-12-03
2025-12-04 00:00:00,230.054975219,233.931183765,223.111766613,226.428522379,23513857.0,2025-12-04
2025-12-05 00:00:00,228.721279753,240.334920047,226.463488178,236.988193597,21160980.0,2025-12-05
2025-12-08 00:00:00,243.252066685,248.986457677,241.373903781,246.678714961,20495362.0,2025-12-08
2025-12-09 00:00:00,244.246094392,255.257823436,242.592711623,252.173340476,17067054.0,2025-12-09
2025-12-10 00:00:00,254.880692321,264.491291859,250.335138486,263.452308125,21960704.0,2025-12-10
2025-12-11 00:00:00,261.274438376,262.593148499,251.304190622,258.207438315,18867027.0,2025-12-11
2025-12-12 00:00:00,255.420164645,255.570018068,239.086141521,240.904363055,25936927.0,2025-12-12
2025-12-15 00:00:00,246.868529297,249.86559776,235.769385756,237.267919987,27483624.0,2025-12-15
2025-12-16 00:00:00,235.569581191,239.165963445,230.354682066,232.28279611,22577259.0,2025-12-16
2025-12-17 00:00:00,236.323843421,237.217968846,221.473369187,225.299626591,41957128.0,2025-12-17
2025-12-18 00:00:00,256.279324271,263.392366756,244.760591145,248.307122159,65006099.0,2025-12-18
2025-12-19 00:00:00,251.503995186,268.117744699,251.499000072,265.66014856,62312103.0,2025-12-19
2025-12-22 00:00:00,276.87917484,279.716399651,268.027832646,276.31972206,30961879.0,2025-12-22
2025-12-23 00:00:00,275.65037677,281.584572327,272.053894614,276.000034757,20767600.0,2025-12-23
2025-12-24 00:00:00,277.728344238,289.017302115,276.979077122,286.399862324,18592572.0,2025-12-24
2025-12-26 00:00:00,290.550802145,290.585767944,283.143047927,284.511709192,17878464.0,2025-12-26
2025-12-29 00:00:00,280.164204458,294.331073622,278.340251286,294.20114819,26642890.0,2025-12-29
2025-12-30 00:00:00,294.530958901,298.658589916,291.842501895,292.462146261,23056391.0,2025-12-30
2025-12-31 00:00:00,292.996839383,292.996839383,284.016993215,285.246287682,17573788.0,2025-12-31
2026-01-02 00:00:00,294.955715119,315.418970577,294.690867124,315.239073826,42604280.0,2026-01-02
2026-01-05 00:00:00,324.943504131,325.343274689,309.372440881,311.970949511,34608591.0,2026-01-05
2026-01-06 00:00:00,318.097433318,344.352364741,317.877559511,343.233007178,48732420.0,2026-01-06
2026-01-07 00:00:00,340.514567381,346.101360934,336.986692145,339.355232761,32781099.0,2026-01-07
2026-01-08 00:00:00,342.703311188,343.462875249,321.175666618,326.832420019,33897720.0,2026-01-08
2026-01-09 00:00:00,332.554136137,345.601647736,326.002896111,344.892054995,33387505.0,2026-01-09
2026-01-12 00:00:00,340.354659157,348.270116214,339.12536469,345.671607584,23152588.0,2026-01-12
2026-01-13 00:00:00,346.071378142,351.028533067,335.027716467,337.936047279,23881339.0,2026-01-13
2026-01-14 00:00:00,334.647934436,338.905490883,328.011743167,333.158789106,20277196.0,2026-01-14
2026-01-15 00:00:00,345.126920198,347.570517736,336.077114182,336.436907685,25370230.0,2026-01-15
2026-01-16 00:00:00,352.897460427,365.60016992,351.838068447,362.541925149,47901925.0,2026-01-16
2026-01-20 00:00:00,364.470818093,381.341035715,361.142728194,364.79063454,49744908.0,2026-01-20
2026-01-21 00:00:00,372.636131748,393.973885303,366.519642205,388.886804947,56712817.0,2026-01-21
2026-01-22 00:00:00,396.412485709,397.5518318,376.70379718,397.351946521,39607596.0,2026-01-22
2026-01-23 00:00:00,396.932187435,412.193328559,390.515869973,399.420759161,35404198.0,2026-01-23
2026-01-26 00:00:00,395.273139618,397.771705608,384.079563982,388.866816419,29193925.0,2026-01-26
2026-01-27 00:00:00,404.377914085,416.211022671,399.370787841,410.004684695,36212062.0,2026-01-27
2026-01-28 00:00:00,422.192689594,438.68822226,416.760807132,435.03032165,42725675.0,2026-01-28
2026-01-29 00:00:00,439.11797561,444.454912565,417.460405609,435.540029112,42675710.0,2026-01-29
2026-01-30 00:00:00,446.20890589,455.238723378,406.896468603,414.642023172,51022881.0,2026-01-30
2026-02-02 00:00:00,411.943571903,442.176220382,409.76482236,437.548876168,37771237.0,2026-02-02
2026-02-03 00:00:00,441.906375255,442.04629495,407.296239161,419.199407538,42763289.0,2026-02-03
2026-02-04 00:00:00,410.354483933,412.763101548,363.69226493,379.182374642,58074935.0,2026-02-04
2026-02-05 00:00:00,369.407984489,390.705760988,365.790060936,382.670372764,38899485.0,2026-02-05
2026-02-06 00:00:00,377.748197764,396.422479973,372.658718785,394.463604237,37196006.0,2026-02-06
2026-02-09 00:00:00,380.471634693,391.585156274,370.467376469,383.280022866,31009558.0,2026-02-09
2026-02-10 00:00:00,375.774330632,382.570430124,365.850026519,373.035902307,35433808.0,2026-02-10
2026-02-11 00:00:00,395.158205582,413.922436167,386.348261901,410.104627334,48474994.0,2026-02-11
2026-02-12 00:00:00,422.007795711,438.518319772,410.928954226,413.732545152,45639117.0,2026-02-12
2026-02-13 00:00:00,404.957581395,420.638581548,392.484739973,411.423870177,33807586.0,2026-02-13
2026-02-17 00:00:00,400.720013476,413.422722969,395.073254338,399.550684592,28549505.0,2026-02-17
2026-02-18 00:00:00,399.270845202,427.604583528,394.373655861,420.708541396,32306578.0,2026-02-18
2026-02-19 00:00:00,415.57148972,420.073905634,407.506118705,417.11060637,21651264.0,2026-02-19
2026-02-20 00:00:00,414.941851091,430.323023325,414.911868299,427.924399975,29894907.0,2026-02-20
2026-02-23 00:00:00,422.067761294,431.447378021,415.061882201,420.728529924,25426639.0,2026-02-23
2026-02-24 00:00:00,428.973797691,436.019753782,411.044088146,417.770227791,33389161.0,2026-02-24
2026-02-25 00:00:00,426.255357894,436.639298205,422.757365508,428.753923884,27296338.0,2026-02-25
2026-02-26 00:00:00,424.596310076,433.751055864,401.729434136,415.321633121,35433455.0,2026-02-26
2026-02-27 00:00:00,401.579520176,417.720256472,400.951680514,412.133462918,28653878.0,2026-02-27
2026-03-02 00:00:00,401.239715202,417.370457233,396.772279212,412.433290837,30049197.0,2026-03-02
2026-03-03 00:00:00,386.328273373,389.866242815,374.335156621,379.462214033,39010902.0,2026-03-03
2026-03-04 00:00:00,393.409209389,407.6460384,387.386565984,400.540116724,32644899.0,2026-03-04
2026-03-05 00:00:00,398.371361445,404.297959973,380.081858398,396.822250531,29960060.0,2026-03-05
2026-03-06 00:00:00,379.921950175,390.955517644,367.23922921,370.087594438,34458784.0,2026-03-06
2026-03-09 00:00:00,363.751231088,389.77629444,357.464839057,389.09668449,35547220.0,2026-03-09
2026-03-10 00:00:00,393.783994287,415.071776522,393.414206521,402.878774491,33745433.0,2026-03-10
2026-03-11 00:00:00,410.534380684,422.507508909,405.557237232,418.449837741,30191430.0,2026-03-11
